Experiment,Cage,Microbiome,Diet,Date,Week,Start Weight,End Weight,,Gender,Notes,,
3,1,Lab,Fat,8/8/18,0,189,92,19.4,Female,,,
3,2,Lab,Fat,8/8/18,0,192,95,19.4,Female,,,
3,3,Lab,Fat,8/8/18,0,151,55,19.2,Female,,,
3,4,Lab,Fat,8/8/18,0,151,58,18.6,Female,,,
3,1,Lab,Chow,8/8/18,0,217,90,25.4,Female,,,
3,2,Lab,Chow,8/8/18,0,194,65,25.8,Female,,,
3,3,Lab,Chow,8/8/18,0,197,75,24.4,Female,,,
3,1,Lab,Fat,8/16/18,1,193,113,16,Female,,,
3,2,Lab,Fat,8/16/18,1,190,118,14.4,Female,,,
3,3,Lab,Fat,8/16/18,1,193,125,13.6,Female,,,
3,4,Lab,Fat,8/16/18,1,180,118,12.4,Female,,,
3,1,Lab,Chow,8/16/18,1,215,136,15.8,Female,,,
3,2,Lab,Chow,8/16/18,1,212,132,16,Female,,,
3,3,Lab,Chow,8/16/18,1,219,139,16,Female,,,
3,1,Wildling,Fat,8/8/18,0,184.02,59.42,24.92,Female,,,
3,2,Wildling,Fat,8/8/18,0,183.08,92.51,18.114,Female,,,
3,3,Wildling,Fat,8/8/18,0,185.04,101.34,16.74,Female,,,
3,4,Wildling,Fat,8/8/18,0,173.97,94.3,15.934,Female,,,
3,1,Wildling,Chow,8/8/18,0,168.64,44.02,24.924,Female,,,
3,2,Wildling,Chow,8/8/18,0,177.94,42.47,27.094,Female,,,
1,1,Lab,Fat,6/20/18,0,159,98,12.2,Female,,,
1,1,Lab,Fat,6/26/18,1,231,156.53,14.894,Female,,,
1,1,Lab,Fat,7/3/18,2,178.85,92,17.37,Female,,,
1,1,Lab,Fat,7/11/18,3,197.54,125.53,14.402,Female,,,
1,1,Lab,Fat,7/18/18,4,177,92,17,Female,,,
1,1,Lab,Fat,7/25/18,5,138,52,17.2,Female,,,
1,1,Lab,Fat,8/2/18,6,174.93,108.14,13.358,Female,,,
1,1,Lab,Fat,8/8/18,7,169,81,17.6,Female,,,
1,1,Lab,Fat,8/16/18,8,188,124,12.8,Female,,,
1,2,Lab,Fat,6/20/18,0,161,97,12.8,Female,,,
1,2,Lab,Fat,6/26/18,1,234,158.69,15.062,Female,,,
1,2,Lab,Fat,7/3/18,2,193.64,103,18.128,Female,,,
1,2,Lab,Fat,7/11/18,3,194.2,118.29,15.182,Female,,,
1,2,Lab,Fat,7/18/18,4,180,99,16.2,Female,,,
1,2,Lab,Fat,7/25/18,5,137,50,17.4,Female,,,
1,2,Lab,Fat,8/2/18,6,181.56,114.15,13.482,Female,,,
1,2,Lab,Fat,8/8/18,7,168,88,16,Female,,,
1,2,Lab,Fat,8/16/18,8,192,125,13.4,Female,,,
1,3,Lab,Fat,6/20/18,0,154,96,11.6,Female,,,
1,3,Lab,Fat,6/26/18,1,231,166.69,12.862,Female,,,
1,3,Lab,Fat,7/3/18,2,189.57,109,16.114,Female,,,
1,3,Lab,Fat,7/11/18,3,194.25,113.54,16.142,Female,,,
1,3,Lab,Fat,7/18/18,4,176,105,14.2,Female,,,
1,3,Lab,Fat,7/25/18,5,133,51,16.4,Female,,,
1,3,Lab,Fat,8/2/18,6,182.9,123.24,11.932,Female,,,
1,3,Lab,Fat,8/8/18,7,164,83,16.2,Female,,,
1,3,Lab,Fat,8/16/18,8,196,143,10.6,Female,,,
1,1,Lab,Chow,6/20/18,0,159,92,13.4,Female,,,
1,1,Lab,Chow,6/26/18,1,163,161.77,0.246,Female,,,
1,1,Lab,Chow,7/3/18,2,183.43,,36.686,Female,,,
1,1,Lab,Chow,7/11/18,3,198.05,119.38,15.734,Female,,,
1,1,Lab,Chow,7/18/18,4,184.56,103,16.312,Female,,,
1,1,Lab,Chow,7/25/18,5,175.77,241,-13.046,Female,caretaker just added more food,,
