RecNumber,Label,Fat,Lean,FreeWater,TotalWater,TimeDateDura,Accumulation,Weight,Comments,Microbiome,Diet,Week
1,Chow 3,1.86,19.04,0.27,14.91,"15:19:03 Oct 1, 2018; 92; ems",1,21.7,c1,Wildling,Chow,10
2,Chow 2,1.54,18.46,0.07,14.37,"15:21:45 Oct 1, 2018; 77; ems",1,20.4,c1,Wildling,Chow,10
3,Chow 5,1.52,19.14,0.16,15,"15:23:52 Oct 1, 2018; 114; ems",1,21,c1,Wildling,Chow,10
4,Chow 1,2.3,18.94,0.18,14.5,"15:26:52 Oct 1, 2018; 114; ems",1,21.4,c1,Wildling,Chow,10
5,Chow 4,1.93,18.74,0.14,14.52,"15:29:17 Oct 1, 2018; 78; ems",1,20.9,c1,Wildling,Chow,10
6,Chow 5,2.37,18.68,0.06,14.61,"15:31:55 Oct 1, 2018; 78; ems",1,21.5,c2,Wildling,Chow,10
7,Chow 3,1.76,20.77,0.26,16.31,"15:33:50 Oct 1, 2018; 77; ems",1,23.1,c2,Wildling,Chow,10
8,Chow 4,4.94,20.55,0.08,16.25,"15:35:55 Oct 1, 2018; 99; ems",1,26,c2,Wildling,Chow,10
9,Chow 2,2.49,18.04,0.05,13.62,"15:38:11 Oct 1, 2018; 114; ems",1,20.7,c2,Wildling,Chow,10
10,Chow 1,2.59,19.65,0.05,15.53,"15:40:50 Oct 1, 2018; 85; ems",1,22.7,c2,Wildling,Chow,10
11,Fat 1 4,7.24,21.07,0.04,15.69,"15:44:30 Oct 1, 2018; 92; ems",1,28.2,c2,Wildling,High Fat,10
12,Fat 4,9.69,20.55,0.16,15.83,"15:46:43 Oct 1, 2018; 84; ems",1,30.1,c2,Wildling,High Fat,10
13,Fat 3,3.44,18.91,0.03,14.42,"15:48:48 Oct 1, 2018; 106; ems",1,22.6,c2,Wildling,High Fat,10
14,Fat 2big,12.41,21.96,0.08,17.8,"15:51:35 Oct 1, 2018; 92; ems",1,34.9,c2,Wildling,High Fat,10
15,Fat 5 4,9.11,20.78,0.07,15.76,"15:53:36 Oct 1, 2018; 85; ems",1,29.5,c2,Wildling,High Fat,10
16,Fat 2,4.83,18.06,0.07,13.96,"15:56:08 Oct 1, 2018; 135; ems",1,23.2,c1,Wildling,High Fat,10
17,Fat1,11.35,19.15,-0.01,14.33,"15:58:57 Oct 1, 2018; 85; ems",1,30.5,c1,Wildling,High Fat,10
18,Fat 5,11.09,20.92,0.16,16.12,"16:01:37 Oct 1, 2018; 85; ems",1,32.3,c2,Wildling,High Fat,10
19,Fat 4,9.93,19.05,0.06,14.5,"16:04:01 Oct 1, 2018; 77; ems",1,29.4,c1,Wildling,High Fat,10
20,Fat 3,19.2,21.34,0.11,16.48,"16:06:01 Oct 1, 2018; 85; ems",1,40.9,c1,Wildling,High Fat,10
21,Lab 1,16.24,20,0.06,15.17,"13:02:41 Nov 14, 2018; 84; ems",1,36.8,High Fat,Lab,High Fat,10
22,Lab 2,13.44,20.13,0.14,15.59,"13:05:02 Nov 14, 2018; 100; ems",1,33.7,High Fat,Lab,High Fat,10
23,Lab 3,15.73,20.07,0.11,15.37,"13:07:43 Nov 14, 2018; 99; ems",1,35.8,High Fat,Lab,High Fat,10
24,Lab 4,22.05,22.18,0.22,17.17,"13:10:00 Nov 14, 2018; 77; ems",1,44.3,High Fat,Lab,High Fat,10
25,Lab 5,17.24,21.71,0.08,16.63,"13:11:57 Nov 14, 2018; 84; ems",1,39.3,High Fat,Lab,High Fat,10
26,Lab 6,18.73,21.4,0.15,16.77,"13:14:19 Nov 14, 2018; 99; ems",1,40.8,High Fat,Lab,High Fat,10
27,Lab 7,10.58,20.48,0.06,15.8,"13:16:39 Nov 14, 2018; 114; ems",1,31.7,High Fat,Lab,High Fat,10
28,Lab 8,22.76,19.91,0.05,15.62,"13:21:26 Nov 14, 2018; 85; ems",1,42.9,High Fat,Lab,High Fat,10
29,Lab,22.22,19.55,0.09,15.19,"13:23:44 Nov 14, 2018; 77; ems",1,41.6,High Fat,Lab,High Fat,10
30,Lab 10,19.07,19.31,0.11,14.46,"13:26:06 Nov 14, 2018; 99; ems",1,38.5,High Fat,Lab,High Fat,10
31,Lab 11,4.53,21.17,0.19,16.19,"13:29:12 Nov 14, 2018; 78; ems",1,25.9,Chow,Lab,Chow,10
32,Lab 12,6.38,20.56,0.15,16.03,"13:30:54 Nov 14, 2018; 107; ems",1,27.5,Chow,Lab,Chow,10
33,Lab 13,9.81,20.88,0.32,16.44,"13:33:33 Nov 14, 2018; 107; ems",1,30.6,Chow,Lab,Chow,10
34,Lab 14,4.81,20.83,0.22,16.12,"13:35:57 Nov 14, 2018; 99; ems",1,26.4,Chow,Lab,Chow,10
35,Lab 15,4.92,19.05,0.21,14.62,"13:38:22 Nov 14, 2018; 77; ems",1,24.6,Chow,Lab,Chow,10
36,Lab 16,11.36,20.04,0.06,15.22,"13:40:22 Nov 14, 2018; 135; ems",1,32,Chow,Lab,Chow,10
37,Lab 17,9.35,19.3,0.12,14.54,"13:43:33 Nov 14, 2018; 84; ems",1,29.6,Chow,Lab,Chow,10
38,Lab 18,3.22,18.78,0.19,14.52,"13:45:46 Nov 14, 2018; 114; ems",1,23.5,Chow,Lab,Chow,10
39,Lab 19,3.6,20.55,0.28,15.98,"13:48:19 Nov 14, 2018; 135; ems",1,25.4,Chow,Lab,Chow,10
40,Lab 20,8.01,20.32,0,15.5,"13:51:14 Nov 14, 2018; 85; ems",1,29.8,Chow,Lab,Chow,10
